,Intent,Keyword,Position,Volume,Difficulty,Page URL inside,SERP Features,Website,Coefficient
29391,M,ecommerce marketing,84,1600,33,,"Adwords top, Sitelinks, Featured snippet, Thumbnail, People also ask, Top stories, Adwords bottom",springbot.com,48.48484848
14503,M,ecommerce trends,16,800,30,,"Adwords top, Sitelinks, Featured snippet, Thumbnail, People also ask, Top stories, Adwords bottom",klavio.com,26.66666667
125,N,ecommerce site search solutions,33,20,3,,"Adwords top, Sitelinks, Featured snippet, Thumbnail, Adwords bottom",apptus.com,6.666666667
130,N,ecommerce navigation,34,20,6,,"Adwords top, Sitelinks, Adwords bottom, Knowledge panel",apptus.com,3.333333333
133,N,ecommerce search solutions,33,10,3,,"Adwords top, Sitelinks, Adwords bottom",apptus.com,3.333333333
22450,M,future of ecommerce,89,400,24,,"Featured snippet, Thumbnail, People also ask, Sitelinks, Top stories, Image pack, Adwords bottom",klavio.com,16.66666667
159,N,ikea ecommerce,41,30,3,,"Adwords top, Sitelinks, Top stories, Thumbnail, Knowledge panel",apptus.com,10
178,L,ecommerce site search best practices,39,10,11,,"Adwords top, Sitelinks, Featured snippet, Thumbnail, Image pack, Adwords bottom",apptus.com,0.909090909
189,N,mecommerce,48,50,1,,"Adwords top, Sitelinks, Top stories, Thumbnail, Image pack",apptus.com,50
28186,M,ecommerce strategies,15,300,15,,"Adwords top, Sitelinks, Featured snippet, Thumbnail, People also ask",springbot.com,20
199,N,director ecommerce,51,40,1,,"People also ask, Knowledge panel",apptus.com,40
218,N,ecommerce search software,50,10,25,,"Adwords top, Sitelinks, People also ask, Adwords bottom",apptus.com,0.4
222,N,synonyms for ecommerce,53,20,1,,"Featured snippet, People also ask, Thumbnail",apptus.com,20
229,N,ecommerce analysis,56,30,11,,"Adwords top, Sitelinks, Featured snippet, Thumbnail, People also ask, Top stories, Adwords bottom",apptus.com,2.727272727
28383,M,ecommerce trends 2018,30,250,39,,"Adwords top, Sitelinks, Featured snippet, Thumbnail, People also ask, Top stories, Image pack, Adwords bottom",springbot.com,6.41025641
247,N,ecommerce site search,63,50,13,,"Adwords top, Sitelinks, Adwords bottom, Knowledge panel",apptus.com,3.846153846
256,N,ecommerce synonym,61,20,1,,"Featured snippet, People also ask",apptus.com,20
284,N,ecommerce managers,82,500,2,,"Featured snippet, Thumbnail, People also ask, Top stories",apptus.com,250
287,N,mecommerce inc,69,20,1,,"Sitelinks, Image pack",apptus.com,20
291,N,ecommerce synonyms,76,100,1,,"Featured snippet, People also ask",apptus.com,100
196,M,ecommerce merchandising,56,200,4,,"Featured snippet, Thumbnail, People also ask, Sitelinks, Top stories",apptus.com,50
21604,M,ecommerce marketing strategy,79,200,27,,"Adwords top, Sitelinks, Featured snippet, Thumbnail, People also ask, Top stories, Image pack, Adwords bottom",klavio.com,7.407407407
338,N,ecommerce search best practices,78,10,7,,"Knowledge card, Adwords bottom, Sitelinks",apptus.com,1.428571429
6334,L,social media ecommerce,77,150,25,,"Adwords top, Sitelinks, People also ask, Top stories, Thumbnail, Adwords bottom, Knowledge panel",bannersnack.com,6
7545,N,social ecommerce,93,150,35,,"Featured snippet, Thumbnail, Sitelinks, People also ask, Adwords bottom, Image pack",bannersnack.com,4.285714286
7721,N,what is ecommerce marketing,86,100,30,,"Adwords top, Sitelinks, Featured snippet, Thumbnail, People also ask, Top stories",bannersnack.com,3.333333333
21836,M,what is ecommerce marketing,80,200,20,,"Adwords top, Sitelinks, Featured snippet, Thumbnail, Top stories, People also ask, Adwords bottom",klavio.com,10
10195,N,vistaprint ecommerce,13,10,13,,"Adwords top, Sitelinks, Top stories, Thumbnail, People also ask, Video",evergage.com,0.769230769
27595,H,ecommerce optimization,100,200,24,,"Adwords top, Sitelinks, Featured snippet, Thumbnail, People also ask, Top stories, Adwords bottom",monetate.com,8.333333333
11016,N,gartner magic quadrant ecommerce,36,40,15,,"Adwords top, Sitelinks, Knowledge panel",evergage.com,2.666666667
11057,N,mitx ecommerce summit,23,20,1,Image pack,"Image pack, Video",evergage.com,20
16348,M,ecommerce integration,34,150,4,,"Adwords top, Sitelinks, Featured snippet, People also ask, Adwords bottom",klavio.com,37.5
18453,M,ecommerce funnel,51,150,12,,"Adwords top, Sitelinks, People also ask, Top stories, Thumbnail, Adwords bottom, Knowledge panel",klavio.com,12.5
20000,M,ecommerce sales funnel,66,150,16,,"Adwords top, Sitelinks, Featured snippet, Thumbnail, People also ask, Top stories, Image pack, Adwords bottom",klavio.com,9.375
26358,M,ecommerce experience,44,150,22,,"Adwords top, Sitelinks, People also ask, Top stories, Thumbnail, Knowledge panel",monetate.com,6.818181818
12997,N,texas ecommerce summit,71,20,1,,Video,evergage.com,20
27635,H,ecommerce personalization,101,150,15,Knowledge panel,"Adwords top, Sitelinks, People also ask, Adwords bottom, Knowledge panel",monetate.com,10
14057,N,ecommerce summit,96,60,13,,"Sitelinks, Top stories, Thumbnail, Adwords bottom",evergage.com,4.615384615
29403,M,ecommerce user experience,66,150,12,,"Adwords top, Sitelinks, Image pack",springbot.com,12.5
14647,L,ecommerce influence,9,100,6,,Sitelinks,klavio.com,16.66666667
14690,N,ecommerce abbreviation,10,90,1,,"Featured snippet, Thumbnail, People also ask",klavio.com,90
14793,N,ecommerce conferences,16,200,3,,"Adwords top, Sitelinks, Top stories, Thumbnail, Image pack",klavio.com,66.66666667
14853,N,abbreviation for ecommerce,10,40,1,,"Featured snippet, Thumbnail",klavio.com,40
14913,N,ecommerce conferences 2019,14,80,2,,"Adwords top, Sitelinks, Featured snippet, Thumbnail, Image pack",klavio.com,40
14929,N,ecommerce workshops,8,20,3,,"Adwords top, Sitelinks, Top stories, Thumbnail, Adwords bottom",klavio.com,6.666666667
30165,H,ecommerce success stories,89,150,10,,"Featured snippet, Thumbnail, Sitelinks, Top stories, People also ask, Image pack, Adwords bottom",springbot.com,15
15060,N,ecommerce conference,20,150,1,,"Sitelinks, Top stories, Thumbnail, Video",klavio.com,150
15234,N,best ecommerce conferences,13,20,1,,"Featured snippet, Thumbnail, Sitelinks, Image pack, Video",klavio.com,20
15245,N,holiday ecommerce,13,20,18,,"Adwords top, Sitelinks, Top stories, Thumbnail",klavio.com,1.111111111
15291,N,ecommerce workshop,15,30,1,,"Adwords top, Sitelinks, Top stories, Thumbnail, Video, Adwords bottom",klavio.com,30
27284,H,ecommerce conversion rate optimization,85,100,36,,"Adwords top, Featured snippet, Thumbnail, Sitelinks, People also ask, Adwords bottom",monetate.com,2.777777778
29358,M,ecommerce ads,63,100,17,,"Adwords top, Sitelinks, Top stories, Thumbnail, People also ask, Adwords bottom, Knowledge panel",springbot.com,5.882352941
15426,N,mailchimp ecommerce,24,150,7,,"Top stories, Thumbnail, People also ask, Knowledge panel",klavio.com,21.42857143
15571,N,ecommerce conference chicago,20,40,21,,Sitelinks,klavio.com,1.904761905
15652,N,luxury ecommerce,23,70,6,,"Sitelinks, Adwords bottom, Knowledge panel",klavio.com,11.66666667
15755,N,custom ecommerce platform,19,20,30,,"Adwords top, Sitelinks, People also ask, Image pack",klavio.com,0.666666667
15827,N,ecommerce newsletter,24,60,4,,"Adwords top, Sitelinks, Top stories, Thumbnail, People also ask, Knowledge panel",klavio.com,15
15835,N,ecommerce hub,23,40,5,,"Sitelinks, Top stories, Thumbnail, Adwords bottom",klavio.com,8
15904,N,ecommerce email template,24,50,12,,"Adwords top, Sitelinks, Top stories, Thumbnail, People also ask, Adwords bottom, Knowledge panel",klavio.com,4.166666667
15913,N,ecommerce newsletters,23,40,4,,"Adwords top, Sitelinks, People also ask, Top stories, Thumbnail, Adwords bottom, Knowledge panel",klavio.com,10
15950,N,ecommerce email templates,29,150,11,,"Adwords top, Sitelinks, Featured snippet, Thumbnail, Top stories",klavio.com,13.63636364
16319,N,privacy policy ecommerce,27,30,33,,"Adwords top, Sitelinks, People also ask, Adwords bottom, Knowledge panel",klavio.com,0.909090909
29678,M,ecommerce advertising,73,100,13,,"Adwords top, Sitelinks, Featured snippet, Thumbnail, People also ask, Top stories, Image pack, Adwords bottom",springbot.com,7.692307692
16403,N,email marketing ecommerce,38,350,37,,"Adwords top, Sitelinks, Top stories, Thumbnail, People also ask, Adwords bottom, Knowledge panel",klavio.com,9.459459459
16428,N,ecommerce boston,28,30,1,,"Featured snippet, Thumbnail, Adwords bottom, Sitelinks",klavio.com,30
16440,N,ecommerce buyer,29,40,1,,"Adwords bottom, Sitelinks",klavio.com,40
12049,H,ecommerce customer experience,59,90,6,,"Adwords top, Sitelinks, People also ask, Top stories, Thumbnail, Adwords bottom, Knowledge panel",evergage.com,15
16515,N,email marketing for ecommerce,31,50,37,,"Adwords top, Sitelinks, Top stories, Thumbnail, People also ask, Adwords bottom, Knowledge panel",klavio.com,1.351351351
11916,M,b2b ecommerce trends,56,80,4,,"Adwords top, Sitelinks, Knowledge card, People also ask, Adwords bottom",evergage.com,20
16578,N,ecommerce email marketing,37,200,37,,"Adwords top, Sitelinks, Top stories, Thumbnail, People also ask, Adwords bottom, Knowledge panel",klavio.com,5.405405405
16930,N,ecommerce agency,39,250,8,,"Adwords top, Sitelinks, People also ask, Top stories, Thumbnail, Adwords bottom",klavio.com,31.25
15417,M,new ecommerce trends,21,80,35,,"Adwords top, Sitelinks, Featured snippet, Thumbnail, People also ask, Adwords bottom",klavio.com,2.285714286
17066,L,ecommerce podcast,41,150,6,,"Top stories, Thumbnail, People also ask",klavio.com,25
28268,H,ecommerce marketing automation,17,80,17,,"Sitelinks, Top stories, Thumbnail, Adwords bottom, Knowledge panel",springbot.com,4.705882353
17257,N,best ecommerce conferences 2017,35,30,1,,"Featured snippet, Thumbnail, Image pack",klavio.com,30
17355,N,wiki ecommerce,36,30,26,,"Adwords top, Sitelinks, People also ask, Image pack",klavio.com,1.153846154
28758,M,easy ecommerce wins,41,80,1,,"Sitelinks, Top stories, Thumbnail",springbot.com,80
17524,N,ecommerce logo png,36,20,1,,Image pack,klavio.com,20
17533,L,top ecommerce podcasts,38,30,5,,"Adwords top, Sitelinks, Top stories, Thumbnail, Adwords bottom",klavio.com,6
17596,N,ecommerce conference las vegas,35,10,4,,Sitelinks,klavio.com,2.5
17688,N,ecommerce seo audit,40,30,13,,"Featured snippet, Thumbnail, Sitelinks, People also ask, Top stories, Adwords bottom",klavio.com,2.307692308
18050,N,ecommerce fulfilment,51,200,22,,"Adwords top, Sitelinks, People also ask, Top stories, Thumbnail, Adwords bottom, Knowledge panel",klavio.com,9.090909091
30006,M,ecommerce customer journey,82,80,4,,"Adwords top, Sitelinks, People also ask, Top stories, Thumbnail, Adwords bottom, Knowledge panel",springbot.com,20
18318,N,ecommerce service provider,47,50,4,,"Featured snippet, Thumbnail, People also ask, Adwords bottom, Sitelinks",klavio.com,12.5
18414,N,ecommerce email examples,47,40,17,,"Adwords top, Sitelinks, Featured snippet, Thumbnail, Image pack, People also ask",klavio.com,2.352941176
30036,M,ecommerce video,83,80,4,,"Adwords top, Sitelinks, Video, Thumbnail, Adwords bottom",springbot.com,20
18488,N,ecommerce direct,48,40,2,,"Sitelinks, People also ask, Top stories, Thumbnail",klavio.com,20
18670,N,ecommerce compliance,47,20,5,,"Adwords top, People also ask, Top stories, Thumbnail, Adwords bottom, Sitelinks",klavio.com,4
18765,N,ecommerce account,49,30,5,,"Adwords top, Sitelinks, People also ask, Top stories, Thumbnail, Adwords bottom, Knowledge panel",klavio.com,6
18804,N,ecommerce tax,56,150,13,,"Adwords top, Sitelinks, Featured snippet, Thumbnail, People also ask, Top stories",klavio.com,11.53846154
18816,N,west elm ecommerce,58,200,2,,"Adwords top, Sitelinks, People also ask, Video, Image pack",klavio.com,100
18952,N,custom ecommerce,50,30,6,,"Adwords top, Sitelinks, People also ask, Adwords bottom, Knowledge panel",klavio.com,5
18988,N,ecommerce entrepreneur,57,150,21,,"Adwords top, People also ask, Top stories, Thumbnail, Adwords bottom, Sitelinks, Knowledge panel",klavio.com,7.142857143
19088,N,ecommerce store logo,48,20,1,,"Adwords top, Sitelinks, Image pack",klavio.com,20
19332,N,ecommerce component,53,30,2,,"Featured snippet, Thumbnail, People also ask, Adwords bottom, Sitelinks",klavio.com,15
19432,N,global ecommerce experts,53,20,4,,"Adwords top, Sitelinks, People also ask",klavio.com,5
19598,N,square ecommerce integration,51,10,13,,"Adwords top, Sitelinks, People also ask, Top stories, Thumbnail",klavio.com,0.769230769
19723,N,ecommerce scripts,58,50,7,,"Adwords top, Sitelinks, People also ask, Video, Adwords bottom",klavio.com,7.142857143
19774,N,ecommerce login,58,40,26,,"Adwords top, Sitelinks, People also ask",klavio.com,1.538461538
19827,N,ecommerce kpis,68,300,11,,"Sitelinks, People also ask",klavio.com,27.27272727
15391,M,trends in ecommerce industry,20,70,36,,"Featured snippet, Thumbnail, People also ask",klavio.com,1.944444444
19884,N,ecommerce case study,60,60,8,,"Top stories, Thumbnail, People also ask, Adwords bottom, Sitelinks, Knowledge panel",klavio.com,7.5
19898,N,top ecommerce brands,57,30,22,,"Featured snippet, People also ask, Sitelinks",klavio.com,1.363636364
16963,M,trends in ecommerce,36,70,28,,"Adwords top, Sitelinks, Featured snippet, Thumbnail, People also ask",klavio.com,2.5
16482,M,ecommerce funnels,31,60,12,,"Adwords top, Sitelinks, Featured snippet, Thumbnail, Top stories, People also ask, Video, Adwords bottom",klavio.com,5
20043,N,global ecommerce summit,55,10,12,,"Adwords top, Sitelinks, Top stories, Thumbnail, Image pack",klavio.com,0.833333333
28239,M,ecommerce marketing platform,12,50,17,,"Adwords top, Sitelinks, People also ask, Adwords bottom",springbot.com,2.941176471
20244,N,ecommerce leads,59,20,5,,"Adwords top, Sitelinks, Top stories, Thumbnail, Adwords bottom",klavio.com,4
20308,N,lightspeed ecommerce login,56,10,9,,"Adwords top, Sitelinks, People also ask, Top stories, Thumbnail, Video, Image pack",klavio.com,1.111111111
20429,N,ecommerce email templates free download,57,10,19,,"Adwords top, Sitelinks, Image pack, Adwords bottom",klavio.com,0.526315789
20465,N,magento ecommerce partners,64,50,19,,"Adwords top, Sitelinks, People also ask, Video, Adwords bottom",klavio.com,2.631578947
28362,M,marketing automation ecommerce,21,50,19,,"Adwords top, Sitelinks, Adwords bottom, Knowledge panel",springbot.com,2.631578947
20542,N,ecommerce logo,68,500,1,,"Image pack, Top stories, Thumbnail",klavio.com,500
20545,N,ecommerce brands,68,100,13,,"Adwords top, Sitelinks, Featured snippet, Thumbnail, People also ask, Top stories",klavio.com,7.692307692
20589,N,kpis for ecommerce,62,20,12,,"Sitelinks, People also ask, Image pack",klavio.com,1.666666667
20690,N,b2b ecommerce,72,1200,40,,"Adwords top, Sitelinks, Featured snippet, Thumbnail, Top stories, Adwords bottom",klavio.com,30
20762,N,p2p ecommerce,62,20,2,,"Adwords top, Sitelinks, People also ask, Top stories, Thumbnail, Knowledge panel",klavio.com,10
20872,N,ecommerce audit,62,20,2,,"Sitelinks, Knowledge panel",klavio.com,10
20942,L,ecommerce seo checklist,64,20,9,,"Featured snippet, Thumbnail, Sitelinks, People also ask",klavio.com,2.222222222
21000,N,ecommerce experts,72,100,10,,"People also ask, Adwords bottom, Sitelinks",klavio.com,10
21153,N,amazon ecommerce store,72,90,32,,"Adwords top, Sitelinks, People also ask, Top stories, Thumbnail",klavio.com,2.8125
21287,L,ecommerce metrics,78,300,15,,"Sitelinks, People also ask, Adwords bottom",klavio.com,20
21509,N,ecommerce entrepreneurs,74,80,17,,"Adwords top, Sitelinks, Top stories, Thumbnail, People also ask, Video, Adwords bottom",klavio.com,4.705882353
29931,H,ecommerce automation,78,50,10,,"Adwords top, Sitelinks, Featured snippet, Thumbnail, Top stories, Adwords bottom",springbot.com,5
21526,N,ecommerce fuel,80,300,1,,Sitelinks,klavio.com,300
21527,N,fashion ecommerce,78,250,16,,"Adwords top, Sitelinks, Top stories, Thumbnail, People also ask, Knowledge panel",klavio.com,15.625
84,H,ecommerce banners,28,40,1,,"Adwords top, Sitelinks, Top stories, Thumbnail, Knowledge panel",apptus.com,40
21711,L,ecommerce podcasts,75,70,3,,"Top stories, Thumbnail, People also ask",klavio.com,23.33333333
21718,N,vector ecommerce,71,30,1,,,klavio.com,30
21760,N,ecommerce innovation summit,72,30,15,,"Sitelinks, Top stories, Thumbnail, Video",klavio.com,2
21766,N,salesforce ecommerce demandware,67,10,31,,"Adwords top, Sitelinks, People also ask",klavio.com,0.322580645
21800,N,target ecommerce,77,100,5,,"People also ask, Knowledge panel",klavio.com,20
11009,H,ecommerce best practices 2015,25,40,8,Image pack,Image pack,evergage.com,5
21853,N,ecommerce b2b,74,50,31,,"Adwords top, Sitelinks, Top stories, Thumbnail, People also ask, Adwords bottom",klavio.com,1.612903226
21965,N,is ecommerce dead,73,30,2,,"People also ask, Top stories, Thumbnail",klavio.com,15
22011,N,square ecommerce review,72,20,8,,"Adwords top, Sitelinks, People also ask, Top stories, Thumbnail",klavio.com,2.5
22104,N,k ecommerce,82,200,5,,"Adwords top, Sitelinks, Top stories, Thumbnail, Image pack",klavio.com,40
22214,N,enterprise ecommerce,78,60,14,,"Adwords top, Sitelinks, People also ask, Adwords bottom, Knowledge panel",klavio.com,4.285714286
22312,N,k-ecommerce,76,30,4,,"Adwords top, Sitelinks, Top stories, Thumbnail",klavio.com,7.5
22342,N,ecommerce apple,87,400,22,,"Adwords top, Sitelinks, People also ask, Video",klavio.com,18.18181818
22351,N,demandware ecommerce,78,50,6,,"Sitelinks, People also ask, Knowledge panel",klavio.com,8.333333333
24597,M,ecommerce marketing ideas,95,40,12,,"Adwords top, Sitelinks, Featured snippet, Thumbnail, Top stories, People also ask, Image pack, Adwords bottom",klavio.com,3.333333333
26131,M,ecommerce benchmarks,32,40,33,,"Adwords top, Sitelinks, People also ask",monetate.com,1.212121212
22696,N,ecommerce events,81,50,5,,"Knowledge card, Sitelinks",klavio.com,10
22786,N,ecommerce forms,77,20,3,,"Top stories, Thumbnail",klavio.com,6.666666667
22822,N,wp ecommerce mailchimp,88,200,23,,"Adwords top, Sitelinks, People also ask, Top stories, Thumbnail",klavio.com,8.695652174
22898,N,privacy policy template for ecommerce,80,30,33,,"Adwords top, Sitelinks, People also ask, Video, Adwords bottom",klavio.com,0.909090909
23203,L,top ecommerce blogs,84,40,3,,"Adwords top, Sitelinks, Featured snippet, Thumbnail",klavio.com,13.33333333
23318,N,ecommerce apparel,81,20,34,,"Adwords top, Sitelinks, People also ask, Knowledge panel",klavio.com,0.588235294
27375,H,ecommerce bounce rate,84,40,15,,"Featured snippet, Thumbnail, People also ask, Sitelinks, Top stories",monetate.com,2.666666667
23540,N,top ecommerce businesses,86,40,20,,"Adwords top, Sitelinks, Featured snippet, Thumbnail, People also ask, Top stories",klavio.com,2
23694,N,ecommerce marketing director,85,20,1,,"Adwords top, People also ask, Video, Adwords bottom, Sitelinks",klavio.com,20
23700,N,ecommerce acquisitions,84,20,1,,"Top stories, Thumbnail, People also ask, Adwords bottom, Sitelinks",klavio.com,20
23735,N,top 500 ecommerce,82,10,14,,"People also ask, Image pack",klavio.com,0.714285714
23781,N,ecommerce inc,87,30,2,,Video,klavio.com,15
23796,N,ecommerce store ideas,90,60,26,,"Featured snippet, Thumbnail, Sitelinks, Top stories, People also ask, Adwords bottom",klavio.com,2.307692308
23822,N,enterprise ecommerce platforms,94,150,16,,"Adwords top, Sitelinks, Featured snippet, Thumbnail, People also ask, Adwords bottom",klavio.com,9.375
23923,N,what is b2b ecommerce,93,100,5,,"Adwords top, Sitelinks, People also ask, Top stories, Thumbnail, Adwords bottom",klavio.com,20
23946,L,ecommerce program,84,10,19,,"Featured snippet, Thumbnail, People also ask",klavio.com,0.526315789
27771,H,personalization ecommerce,101,40,17,Knowledge panel,"Adwords top, Sitelinks, People also ask, Adwords bottom, Knowledge panel",monetate.com,2.352941176
23968,N,vice president ecommerce,88,30,1,,"Top stories, Thumbnail",klavio.com,30
23984,N,ecommerce html,89,40,10,,"Adwords top, Sitelinks, Top stories, Thumbnail, Image pack, Adwords bottom",klavio.com,4
24036,N,ecommerce terms of service generator,86,20,40,,"Adwords top, Sitelinks, Top stories, Thumbnail, People also ask, Adwords bottom",klavio.com,0.5
24039,N,avg ecommerce,87,20,1,,"Adwords top, Sitelinks, People also ask, Image pack",klavio.com,20
24100,N,ecommerce html templates,88,20,10,,"Adwords top, Sitelinks, Top stories, Thumbnail, Image pack, Adwords bottom",klavio.com,2
24122,N,twitter ecommerce,90,30,7,,"Adwords top, Sitelinks, Top stories, Thumbnail, People also ask, Knowledge panel",klavio.com,4.285714286
24171,N,ecommerce economics,88,20,2,,"People also ask, Image pack",klavio.com,10
