,Keyword,Position,Volume,Difficulty,Page URL inside,SERP Features,Website,Coefficient
174,apttus software,43,30,8,,"Adwords top, Sitelinks, People also ask, Top stories, Thumbnail, Image pack, Adwords bottom",apptus.com,3.75
200,apptus software,51,40,24,,"Adwords top, Sitelinks, People also ask, Top stories, Thumbnail",apptus.com,1.6666666666666667
204,snow software wiki,49,20,6,,"People also ask, Sitelinks",apptus.com,3.3333333333333335
216,shopware software,56,60,1,,"Sitelinks, Top stories, Thumbnail, Image pack",apptus.com,60.0
218,ecommerce search software,50,10,25,,"Adwords top, Sitelinks, People also ask, Adwords bottom",apptus.com,0.4
667,banner software,35,2100,2,,"Top stories, Thumbnail, People also ask, Knowledge panel",bannersnack.com,1050.0
780,label maker software,38,1600,14,,"Shopping results, Thumbnail, Adwords top, Sitelinks, People also ask, Top stories, Adwords bottom, Knowledge panel",bannersnack.com,114.28571428571429
1057,free label maker software,21,1000,31,,"Shopping results, Thumbnail, Adwords top, Featured snippet, People also ask, Top stories, Adwords bottom, Sitelinks",bannersnack.com,32.25806451612903
1333,free label printing software,83,700,30,,"Top stories, Thumbnail, People also ask, Adwords bottom, Sitelinks",bannersnack.com,23.333333333333332
1350,photo slideshow software,68,600,38,,"Adwords top, Sitelinks, Featured snippet, People also ask, Top stories, Thumbnail, Adwords bottom, Shopping results",bannersnack.com,15.789473684210526
1355,ads software,98,600,5,,"Top stories, Thumbnail, Adwords bottom, Sitelinks",bannersnack.com,120.0
1850,best photo slideshow software,61,450,37,,"Adwords top, Sitelinks, Featured snippet, People also ask, Top stories, Thumbnail, Adwords bottom, Shopping results",bannersnack.com,12.162162162162161
2157,best professional slideshow software,45,400,22,,"Shopping results, Thumbnail, Adwords top, Featured snippet, People also ask, Top stories, Adwords bottom, Sitelinks",bannersnack.com,18.181818181818183
2183,poster maker software,29,400,26,,"Sitelinks, People also ask, Top stories, Thumbnail, Knowledge panel",bannersnack.com,15.384615384615385
2827,best photos slideshow software,38,300,34,,"Featured snippet, People also ask, Top stories, Thumbnail",bannersnack.com,8.823529411764707
3140,free label software,38,300,22,,"Adwords top, Sitelinks, Top stories, Thumbnail, Adwords bottom, Shopping results",bannersnack.com,13.636363636363637
3179,best free label maker software,21,300,22,,"Adwords top, Sitelinks, Featured snippet, Thumbnail, People also ask, Top stories, Adwords bottom",bannersnack.com,13.636363636363637
3265,best free photo slideshow software,41,300,31,,"Adwords top, Sitelinks, Featured snippet, Thumbnail, People also ask, Top stories, Video, Adwords bottom",bannersnack.com,9.67741935483871
3600,slide show software freeware,54,250,40,,"Adwords top, Sitelinks, People also ask, Top stories, Thumbnail",bannersnack.com,6.25
3662,best gif maker software,37,250,39,,"Knowledge card, People also ask, Top stories, Thumbnail",bannersnack.com,6.410256410256411
4114,what is banner software,54,250,2,,"Featured snippet, People also ask, Top stories, Thumbnail, Image pack",bannersnack.com,125.0
4517,software to create printables,81,200,3,,"Featured snippet, Thumbnail, Top stories",bannersnack.com,66.66666666666667
4619,free greeting cards software,57,200,28,,"Sitelinks, People also ask, Top stories, Thumbnail, Image pack",bannersnack.com,7.142857142857143
5148,magazine maker software free download,62,200,2,,"Adwords top, Sitelinks, People also ask, Top stories, Thumbnail, Image pack, Adwords bottom, Shopping results",bannersnack.com,100.0
5534,ad software,81,200,24,,"Adwords top, Sitelinks, People also ask, Adwords bottom, Knowledge panel",bannersnack.com,8.333333333333334
5658,label design software free,14,150,34,,"Adwords top, Sitelinks, People also ask, Top stories, Thumbnail, Image pack",bannersnack.com,4.411764705882353
5825,slide show software reviews,49,150,23,,"Shopping results, Thumbnail, Adwords top, Sitelinks, People also ask, Top stories, Image pack, Video, Adwords bottom",bannersnack.com,6.521739130434782
5899,free label design software,17,150,33,,"Shopping results, Thumbnail, Adwords top, Sitelinks, People also ask, Top stories, Image pack",bannersnack.com,4.545454545454546
6015,software design tool,97,150,12,,"Adwords top, Sitelinks, People also ask, Image pack",bannersnack.com,12.5
6045,photo slideshow software free download full version,83,150,22,,"Shopping results, Thumbnail, Adwords top, Sitelinks, People also ask, Top stories, Adwords bottom",bannersnack.com,6.818181818181818
6979,labelling software free,46,150,22,,"Top stories, Thumbnail, People also ask, Adwords bottom, Sitelinks",bannersnack.com,6.818181818181818
7243,make pictures talk software,97,150,12,,"Video, Image pack",bannersnack.com,12.5
7334,free photo slideshow software,33,150,31,,"Adwords top, Sitelinks, Featured snippet, Thumbnail, People also ask, Top stories, Video, Adwords bottom",bannersnack.com,4.838709677419355
7437,magazine maker software,95,150,38,,"Adwords top, Sitelinks, People also ask, Top stories, Thumbnail, Adwords bottom, Shopping results, Knowledge panel",bannersnack.com,3.9473684210526314
7912,label software free,88,100,22,,"Adwords top, Sitelinks, People also ask, Top stories, Thumbnail, Image pack, Adwords bottom",bannersnack.com,4.545454545454546
7939,best label design software,33,100,10,,"Shopping results, Thumbnail, Adwords top, Sitelinks, Featured snippet, People also ask, Top stories, Adwords bottom",bannersnack.com,10.0
8165,label maker software free,27,100,31,,"Shopping results, Thumbnail, Adwords top, Sitelinks, People also ask, Top stories",bannersnack.com,3.225806451612903
8245,top 10 slideshow maker software,57,100,25,,"Shopping results, Thumbnail, Featured snippet, Top stories, Video, Adwords bottom, Sitelinks",bannersnack.com,4.0
8552,label maker software freeware,37,100,19,,"Shopping results, Thumbnail, Adwords top, Sitelinks, People also ask, Top stories, Adwords bottom",bannersnack.com,5.2631578947368425
9163,free layout design software,73,100,38,,"Adwords top, Sitelinks, Featured snippet, Thumbnail, People also ask, Image pack",bannersnack.com,2.6315789473684212
9290,picture slideshow software,20,100,34,,"Shopping results, Thumbnail, Adwords top, Sitelinks, People also ask, Top stories, Video",bannersnack.com,2.9411764705882355
10408,behavior tracking software,23,40,9,,"Adwords top, Sitelinks, Image pack, People also ask, Top stories, Thumbnail, Adwords bottom",evergage.com,4.444444444444445
10580,account based marketing software,30,80,12,,"Adwords top, Sitelinks, Featured snippet, People also ask",evergage.com,6.666666666666667
10914,cdp software,35,60,10,,"Adwords top, Sitelinks, People also ask, Top stories, Thumbnail, Image pack, Adwords bottom",evergage.com,6.0
10999,gage tracking software,32,20,13,,"Adwords top, Sitelinks, Top stories, Thumbnail, People also ask",evergage.com,1.5384615384615385
11066,gauge tracker software,36,40,8,,"Sitelinks, People also ask, Top stories, Thumbnail, Image pack, Adwords bottom",evergage.com,5.0
11155,software vendor evaluation,34,20,3,,"People also ask, Top stories, Thumbnail, Image pack",evergage.com,6.666666666666667
11192,software that displays banner ads or pop-up ads on your computer is called ________.,45,150,1,,"Image pack, Thumbnail, Adwords bottom, Sitelinks",evergage.com,150.0
11208,gage track software,39,40,14,,"Adwords top, Sitelinks, Top stories, Thumbnail, People also ask",evergage.com,2.857142857142857
11239,build vs buy software analysis,26,20,4,Image pack,"Featured snippet, People also ask, Image pack, Video, Adwords bottom, Sitelinks",evergage.com,5.0
11706,gage software,46,20,9,,"Adwords top, Sitelinks, Top stories, Thumbnail, People also ask, Adwords bottom",evergage.com,2.2222222222222223
11719,roi tracking software,46,20,10,,"Adwords top, Sitelinks, People also ask, Adwords bottom",evergage.com,2.0
11929,gage control software,50,20,8,,"Adwords top, Sitelinks, People also ask, Top stories, Thumbnail, Image pack, Adwords bottom",evergage.com,2.5
12816,gage management software,65,10,9,,"Adwords top, Sitelinks, Top stories, Thumbnail, People also ask",evergage.com,1.1111111111111112
13018,lead generation for software companies,69,10,10,,"Adwords top, Sitelinks, Featured snippet, People also ask, Adwords bottom",evergage.com,1.0
13104,act on software portland,74,20,13,,"Adwords top, Sitelinks, People also ask, Video, Image pack",evergage.com,1.5384615384615385
14097,chi software,97,50,4,,"Sitelinks, Top stories, Thumbnail",evergage.com,12.5
14359,personalized video software,100,10,36,,"Adwords top, Sitelinks, Top stories, Thumbnail, People also ask, Video, Adwords bottom",evergage.com,0.2777777777777778
15317,bronto software careers,16,30,1,,"Adwords top, Sitelinks, People also ask, Video, Image pack",klavio.com,30.0
16155,vio software,32,150,2,,"Sitelinks, Top stories, Thumbnail, Video",klavio.com,75.0
16274,boston software companies,28,50,4,,"Featured snippet, Thumbnail, Sitelinks, Image pack",klavio.com,12.5
16918,boston software jobs,36,80,1,,"Adwords top, Sitelinks, Adwords bottom",klavio.com,80.0
17034,act client software,29,10,10,,"Sitelinks, People also ask, Video, Image pack",klavio.com,1.0
17512,email software programs,43,90,28,,"Adwords top, Sitelinks, People also ask",klavio.com,3.2142857142857144
17571,software engineer jobs in boston,40,40,1,,"Adwords top, Sitelinks, Video",klavio.com,40.0
17619,marketing software programs,40,40,38,,"Adwords top, Sitelinks, Featured snippet, Thumbnail, People also ask, Adwords bottom",klavio.com,1.0526315789473684
18152,software jobs in boston,42,20,1,,"Adwords top, Sitelinks",klavio.com,20.0
18191,software engineer jobs boston,51,150,1,,Video,klavio.com,150.0
18427,email bombing software,43,20,12,,"Adwords top, Sitelinks",klavio.com,1.6666666666666667
18432,boston software engineer jobs,49,60,1,,"Video, Adwords bottom, Sitelinks",klavio.com,60.0
18600,email collecting software,47,30,40,,"People also ask, Sitelinks, Image pack, Adwords bottom",klavio.com,0.75
18717,marketing software,63,2300,32,,"Adwords top, Sitelinks, Featured snippet, Thumbnail, Adwords bottom",klavio.com,71.875
18732,boston software engineering jobs,48,30,1,,Video,klavio.com,30.0
18807,software sales jobs boston,49,30,1,,,klavio.com,30.0
19272,email analytics software,53,30,12,,"Adwords top, Sitelinks, Featured snippet, Thumbnail, People also ask, Adwords bottom",klavio.com,2.5
19977,shopify software,60,50,34,,"Adwords top, Sitelinks, People also ask, Top stories, Thumbnail, Adwords bottom",klavio.com,1.4705882352941178
20063,enterprise ecommerce software,57,20,17,,"Sitelinks, People also ask, Video",klavio.com,1.1764705882352942
20321,software like mailchimp,60,30,36,,"Adwords top, Sitelinks, Featured snippet, Thumbnail, People also ask, Top stories, Adwords bottom",klavio.com,0.8333333333333334
21388,software companies in boston,83,400,4,,"Featured snippet, Thumbnail, Sitelinks",klavio.com,100.0
21394,crm email marketing software,76,150,36,,"Adwords top, Sitelinks, People also ask, Adwords bottom",klavio.com,4.166666666666667
21446,software engineering internships boston,70,40,1,,"Top stories, Thumbnail",klavio.com,40.0
21595,software marketing,76,100,19,,"Adwords top, Sitelinks, People also ask, Adwords bottom",klavio.com,5.2631578947368425
21614,cart abandonment software,76,100,25,,People also ask,klavio.com,4.0
21639,email manager software,73,50,38,,"Adwords top, Sitelinks, Featured snippet, Thumbnail, People also ask, Adwords bottom",klavio.com,1.3157894736842106
21926,bronto software jobs,72,20,6,,Image pack,klavio.com,3.3333333333333335
22021,email list cleaning software,71,20,8,,"Adwords top, Sitelinks, Featured snippet, Thumbnail, Top stories, People also ask, Adwords bottom",klavio.com,2.5
22228,kal software,73,20,1,,"Sitelinks, Top stories, Thumbnail, Video, Knowledge panel",klavio.com,20.0
22283,website marketing software,71,10,36,,"Adwords top, Sitelinks, Knowledge card, People also ask",klavio.com,0.2777777777777778
22537,esp software,82,200,8,,"People also ask, Top stories, Thumbnail, Knowledge panel",klavio.com,25.0
22570,customer profile software,84,150,5,,"Adwords top, Sitelinks, People also ask, Adwords bottom, Shopping results, Thumbnail, Knowledge panel",klavio.com,30.0
22615,what software program provides for email communication,79,40,31,,"Adwords top, Sitelinks, Image pack, Adwords bottom",klavio.com,1.2903225806451613
22978,software email,78,20,20,,"Adwords top, Sitelinks, Featured snippet, People also ask, Adwords bottom",klavio.com,1.0
23014,abandoned cart software,83,50,23,,"Adwords top, Sitelinks, Top stories, Thumbnail, People also ask, Adwords bottom",klavio.com,2.1739130434782608
23132,crm and email marketing software,86,80,17,,"People also ask, Adwords bottom, Sitelinks",klavio.com,4.705882352941177
23143,email design software,87,100,26,,"Adwords top, Sitelinks, People also ask, Top stories, Thumbnail, Adwords bottom, Knowledge panel",klavio.com,3.8461538461538463
23335,enterprise email marketing software,79,10,33,,"Adwords top, Sitelinks, People also ask, Adwords bottom",klavio.com,0.30303030303030304
23880,fast content creation software,86,20,9,,"Adwords top, Sitelinks, People also ask, Video, Adwords bottom",klavio.com,2.2222222222222223
23905,marketing automation software reviews,87,20,40,,"Adwords top, Sitelinks, Knowledge card, People also ask, Top stories, Thumbnail, Adwords bottom",klavio.com,0.5
23956,software for ecommerce business,86,20,37,,"Adwords top, Sitelinks, Featured snippet, Thumbnail, People also ask, Adwords bottom",klavio.com,0.5405405405405406
24160,subscription box software,89,20,6,,"Adwords top, Sitelinks, People also ask, Adwords bottom",klavio.com,3.3333333333333335
24490,software inc walkthrough,91,20,1,,"Video, Sitelinks",klavio.com,20.0
24542,automated blog software,95,50,6,,"Adwords top, Sitelinks, People also ask, Top stories, Thumbnail, Video, Adwords bottom",klavio.com,8.333333333333334
24567,business software platforms,89,10,17,,"Adwords top, Sitelinks, Featured snippet, Thumbnail, People also ask, Adwords bottom",klavio.com,0.5882352941176471
24622,email scrubbing software,90,10,25,,"Adwords top, Sitelinks, Featured snippet, Thumbnail, People also ask, Video, Image pack, Adwords bottom",klavio.com,0.4
24822,up software,97,50,9,,Image pack,klavio.com,5.555555555555555
25016,exit popup software,95,20,40,,"Adwords top, Sitelinks, Featured snippet, Thumbnail, People also ask, Top stories, Image pack",klavio.com,0.5
25201,vip sales software,98,20,3,,"Adwords top, Sitelinks, People also ask",klavio.com,6.666666666666667
25422,automated text message software,101,10,27,,"Featured snippet, People also ask, Sitelinks",klavio.com,0.37037037037037035
25460,multivariate testing software,102,10,28,Image pack,"Adwords top, Sitelinks, Featured snippet, Thumbnail, People also ask, Top stories, Image pack, Adwords bottom",klavio.com,0.35714285714285715
26232,personalize software,39,50,24,,"Adwords top, Sitelinks, People also ask, Adwords bottom, Shopping results, Thumbnail",monetate.com,2.0833333333333335
26342,kibo software,52,350,7,,"Sitelinks, People also ask, Top stories, Thumbnail, Adwords bottom",monetate.com,50.0
26456,mvt testing software,45,20,34,,"Adwords top, Sitelinks, People also ask, Top stories, Thumbnail, Adwords bottom",monetate.com,0.5882352941176471
26732,product personalization software,56,20,14,,"Sitelinks, People also ask, Video",monetate.com,1.4285714285714286
26800,web optimization software,61,30,3,,"Adwords top, Sitelinks, People also ask",monetate.com,10.0
26992,real time personalization software,65,10,35,,"Adwords top, Sitelinks, People also ask, Top stories, Thumbnail, Adwords bottom",monetate.com,0.2857142857142857
27255,behavioral marketing software,74,10,22,,"Adwords top, Sitelinks, People also ask, Adwords bottom",monetate.com,0.45454545454545453
27412,personalized software,88,60,24,,"Adwords top, Sitelinks, Shopping results, Thumbnail",monetate.com,2.5
27510,product recommendation software,85,20,10,,"Featured snippet, Thumbnail, Sitelinks, People also ask, Adwords bottom",monetate.com,2.0
27628,omni channel marketing software,92,20,1,,"Adwords top, Sitelinks, People also ask, Top stories, Thumbnail, Adwords bottom",monetate.com,20.0
27648,omni channel software,98,80,2,,"Adwords top, Sitelinks, People also ask, Adwords bottom, Knowledge panel",monetate.com,40.0
27900,content personalization software,21,20,24,,"Adwords top, Sitelinks, People also ask, Top stories, Thumbnail, Adwords bottom",personyze.com,0.8333333333333334
28045,ecommerce personalization software,67,30,11,,"Adwords top, Sitelinks, People also ask, Adwords bottom",personyze.com,2.727272727272727
28057,website personalization software,68,20,33,,"People also ask, Adwords bottom, Sitelinks",personyze.com,0.6060606060606061
28133,personalization software,98,100,24,,"People also ask, Adwords bottom, Sitelinks, Knowledge panel",personyze.com,4.166666666666667
28396,ecommerce marketing software,17,20,30,,"Adwords top, Sitelinks, People also ask, Adwords bottom",springbot.com,0.6666666666666666
28878,marketing software platforms,45,70,24,,"Featured snippet, Thumbnail, People also ask, Adwords bottom, Sitelinks",springbot.com,2.9166666666666665
29070,bot software,58,300,2,,"People also ask, Sitelinks, Top stories, Thumbnail, Knowledge panel",springbot.com,150.0
29640,programmatic buying software,62,10,23,,"Adwords top, Sitelinks, People also ask, Top stories, Thumbnail",springbot.com,0.43478260869565216
29812,marketing software company,74,50,16,,"Sitelinks, Adwords bottom, Knowledge panel",springbot.com,3.125
29868,automated social media marketing software,75,40,39,,"Sitelinks, People also ask, Adwords bottom",springbot.com,1.0256410256410255
29970,programmatic advertising software,74,20,23,,"People also ask, Top stories, Thumbnail, Adwords bottom, Sitelinks, Knowledge panel",springbot.com,0.8695652173913043
30082,marketing software platform,76,10,39,,"Adwords top, Featured snippet, Thumbnail, People also ask, Sitelinks, Adwords bottom",springbot.com,0.2564102564102564
30096,core value software,85,80,9,,"Sitelinks, Top stories, Thumbnail",springbot.com,8.88888888888889
30151,data automation software,79,10,12,,"Adwords top, Sitelinks, People also ask, Adwords bottom",springbot.com,0.8333333333333334
30169,software bot,87,80,2,,"People also ask, Sitelinks, Top stories, Thumbnail, Adwords bottom, Image pack",springbot.com,40.0
30333,facebook automation software,93,80,9,,"Adwords top, Featured snippet, Thumbnail, Sitelinks, Top stories, Video, People also ask, Adwords bottom",springbot.com,8.88888888888889
30401,automated bot software,93,50,36,,"Adwords top, Sitelinks, People also ask, Top stories, Thumbnail, Adwords bottom",springbot.com,1.3888888888888888
30425,ecommerce email marketing software,93,40,39,,"Adwords top, Sitelinks, People also ask, Adwords bottom",springbot.com,1.0256410256410255
30510,ecommerce analytics software,92,20,15,,"Adwords top, Sitelinks, People also ask, Adwords bottom",springbot.com,1.3333333333333333
30512,marketing campaign software,97,60,3,,"Adwords top, Sitelinks, People also ask, Adwords bottom, Knowledge panel",springbot.com,20.0
30608,internet bot software,94,10,17,,"Adwords top, Sitelinks, Top stories, Thumbnail, People also ask, Knowledge panel",springbot.com,0.5882352941176471
30653,ecommerce loyalty software,98,10,26,,"Sitelinks, People also ask",springbot.com,0.38461538461538464
31074,sell software on line,93,90,8,,"Adwords top, Sitelinks, People also ask, Top stories, Thumbnail, Adwords bottom",stackcommerce.com,11.25
31636,media buyer software,79,150,11,,"Adwords top, Sitelinks, People also ask, Top stories, Thumbnail, Image pack, Adwords bottom",,13.636363636363637
31715,waterford software,80,20,39,,"Sitelinks, People also ask, Top stories, Thumbnail, Knowledge panel",,0.5128205128205128
31751,facebook marketing automation software,85,10,17,,"Adwords top, Sitelinks, Top stories, Thumbnail, People also ask, Image pack, Adwords bottom",,0.5882352941176471
31754,campaign manager software,95,100,2,,"Adwords top, Sitelinks, People also ask, Adwords bottom, Knowledge panel",,50.0
31755,twitter automation software,94,80,6,,"Adwords top, Sitelinks, People also ask, Top stories, Thumbnail, Video, Adwords bottom",,13.333333333333334
32137,free graph software,2,250,22,,"Adwords top, Sitelinks, People also ask, Adwords bottom",visme.co,11.363636363636363
32146,free graphs software,4,400,9,,"Adwords top, Sitelinks, Featured snippet, Thumbnail, People also ask, Adwords bottom",visme.co,44.44444444444444
32154,best free presentation software,6,600,20,,"Adwords top, Sitelinks, Featured snippet, Thumbnail, People also ask, Top stories",visme.co,30.0
32184,free timeline software,6,500,36,,"Adwords top, Sitelinks, Featured snippet, Thumbnail, People also ask, Image pack",visme.co,13.88888888888889
32249,presentation software freeware,4,250,34,,"Sitelinks, People also ask, Top stories, Thumbnail, Video, Image pack",visme.co,7.352941176470588
32270,graph making software,4,200,36,,"Sitelinks, People also ask, Top stories, Thumbnail",visme.co,5.555555555555555
32302,restaurant menu design software free download,2,150,31,,"Adwords top, Sitelinks, People also ask, Shopping results, Thumbnail",visme.co,4.838709677419355
32339,free graph softwares,7,400,12,,"Adwords top, Sitelinks, People also ask, Image pack, Adwords bottom",visme.co,33.333333333333336
32448,free decision tree software,6,200,13,,"People also ask, Top stories, Thumbnail, Image pack, Adwords bottom, Sitelinks",visme.co,15.384615384615385
